,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B171_mean,0.7361164323572736,0.8169144143444167,0.7839265586201919,0.7050646578517834,0.7271006676838955,0.9032088804068052,0.9190765274461865,0.7516411666594813,0.870865716774928,0.7560676030186565,0.7181164900547998
B172_mean,1.3065226048220522,1.346844757461658,1.3388905981521966,1.3049487718168606,1.3653280238968397,1.405995870256422,1.379900380531596,1.3581253808046128,1.4157450017666515,1.357049007437438,1.3519264668195743
B173_mean,1.331929371340075,1.3506382796765966,1.3686521785707857,1.3492359190739183,1.4216296207580956,1.43471059845527,1.3452348419864528,1.4157935545204798,1.4266722943334536,1.4171527768471415,1.42787292990344
B174_mean,1.4296474515567614,1.4357096845059327,1.4509114670641508,1.4319993945743552,1.5444466613864642,1.4530855995033214,1.4199876555964486,1.5010357055578796,1.5047616358210458,1.5036268987686674,1.5130159836220856
B175_mean,1.1176813929447516,1.1390374318212124,1.1467007737132286,1.1073824225161117,1.2146879037088651,1.2181374490623766,1.1401145702891249,1.1752011145104044,1.2038436446745016,1.1877992102200796,1.1827655380209874
B176_mean,1.3748591868929143,1.4067799104353083,1.4263849278745755,1.4122517471280884,1.4862480422826905,1.5418235620720762,1.366825793098926,1.4929469703316742,1.4892079229927702,1.4832543170100618,1.5027980407844657
B177_mean,1.1310832287977342,1.1519114063142792,1.1773132962883652,1.1700761757478682,1.2409624291324972,1.2962398321801605,1.1088933987715028,1.2395548251574457,1.2344474303721609,1.227559503764829,1.2594649027541451
B178_mean,1.1896137560440099,1.2016946127530128,1.241717267870445,1.2594476518671414,1.3138881577394466,1.3822481354097351,1.1312954117048708,1.3403109197218364,1.3064463261165178,1.3296083424103182,1.3747304009852863
B179_mean,1.1014983020427778,1.100083440845114,1.1431309956273006,1.1701220225513973,1.2419924369611162,1.2456158940925441,1.0303475841599967,1.249371388039429,1.1950558937865265,1.2408112006311147,1.2847015404189908
B180_mean,1.0040179528973894,0.999629240623295,1.0503889441939913,1.0769892535295336,1.1466688919009955,1.1584908383118957,0.9311989982713028,1.1664626401651013,1.1080063988601399,1.143700906839067,1.1953581084342932
